Station,Date_parsed,Muntiacus_present,EVI_Silwood,distance_to_road
45,09/10/2025,1,0.62209414,166.31566
45,10/10/2025,1,0.62209414,166.31566
45,11/10/2025,1,0.62209414,166.31566
45,12/10/2025,1,0.62209414,166.31566
45,13/10/2025,1,0.62209414,166.31566
45,14/10/2025,1,0.62209414,166.31566
45,15/10/2025,1,0.62209414,166.31566
45,16/10/2025,1,0.62209414,166.31566
45,17/10/2025,1,0.62209414,166.31566
45,18/10/2025,1,0.62209414,166.31566
45,19/10/2025,1,0.62209414,166.31566
45,20/10/2025,1,0.62209414,166.31566
45,21/10/2025,1,0.62209414,166.31566
45,22/10/2025,1,0.62209414,166.31566
45,23/10/2025,1,0.62209414,166.31566
45,24/10/2025,0,0.62209414,166.31566
45,25/10/2025,0,0.62209414,166.31566
45,26/10/2025,0,0.62209414,166.31566
45,27/10/2025,1,0.62209414,166.31566
45,28/10/2025,0,0.62209414,166.31566
45,29/10/2025,0,0.62209414,166.31566
45,30/10/2025,1,0.62209414,166.31566
45,31/10/2025,0,0.62209414,166.31566
45,01/11/2025,0,0.62209414,166.31566
45,02/11/2025,1,0.62209414,166.31566
45,03/11/2025,1,0.62209414,166.31566
45,04/11/2025,0,0.62209414,166.31566
45,05/11/2025,0,0.62209414,166.31566
45,06/11/2025,0,0.62209414,166.31566
45,07/11/2025,0,0.62209414,166.31566
45,08/11/2025,1,0.62209414,166.31566
45,09/11/2025,1,0.62209414,166.31566
45,10/11/2025,1,0.62209414,166.31566
45,11/11/2025,0,0.62209414,166.31566
45,12/11/2025,1,0.62209414,166.31566
45,13/11/2025,1,0.62209414,166.31566
45,14/11/2025,0,0.62209414,166.31566
45,15/11/2025,1,0.62209414,166.31566
45,16/11/2025,0,0.62209414,166.31566
45,17/11/2025,0,0.62209414,166.31566
45,18/11/2025,1,0.62209414,166.31566
45,19/11/2025,0,0.62209414,166.31566
45,20/11/2025,0,0.62209414,166.31566
45,21/11/2025,1,0.62209414,166.31566
45,22/11/2025,1,0.62209414,166.31566
45,23/11/2025,0,0.62209414,166.31566
45,24/11/2025,0,0.62209414,166.31566
49,08/10/2025,0,0.642494367,154.50773
49,09/10/2025,0,0.642494367,154.50773
49,10/10/2025,0,0.642494367,154.50773
49,11/10/2025,0,0.642494367,154.50773
49,12/10/2025,0,0.642494367,154.50773
49,13/10/2025,0,0.642494367,154.50773
49,14/10/2025,0,0.642494367,154.50773
49,15/10/2025,0,0.642494367,154.50773
49,16/10/2025,0,0.642494367,154.50773
49,17/10/2025,0,0.642494367,154.50773
